deviceId,pm2.5:4,humi:4,temp:4,pm2.5:5,humi:5,temp:5,pm2.5:6,humi:6,temp:6,pm2.5:7,humi:7,temp:7,pm2.5:8,humi:8,temp:8,pm2.5:9,humi:9,temp:9,pm2.5:10,humi:10,temp:10,pm2.5:11,humi:11,temp:11,location
6900873714,14.15,88,17.45,18,87,17,17,87,17.52,7.23,88.8,16,7.48,85,17,14,84.7,17,6.83,82.44,18.06,12.53,77.94,17.98,1
9302405863,20,90.06,17,25.9,86.06,17,17,87.06,17.22,16.27,87,17.36,13.18,82.1,17.73,14,82,17,15.24,76.25,18.48,21.95,72,19.44,1
9062577305,20,91.4,17.56,41.78,88.3,18.02,17,88.56,17.73,14,87,17.45,14,87.6,18,38.8,83.56,17,31.98,77.25,20.67,23,68.75,18,0
9498237121,21.14,88,16.6,20.88,100,15.8,17,100,17,12.35,100,16,14,100,17,16.36,99,15.5,16,95.3,15.5,25.95,72,17.1,4
6941022625,6.22,86.6,18.19,18,90.56,17.56,17,91.3,17.31,14,93.3,16.97,9.6,93.3,17,7.83,70.4,17,10.27,66.4,25.56,13.35,72,18,0
9263313488,7.28,88,17,4.49,87,17,4.49,87.44,17,14,84.06,15.95,7.28,83.8,15.56,14,85.5,14.93,5.89,77,17,23,77.8,18,5
9078634070,29,85.9,16.7,20,87,16.7,24,87,16.7,23,87,16,14,85,17,14,79.3,18.7,16,77,17,23,73.5,22.8,0
9084031022,36,88,18.9,25,70.5,18.9,29,71.1,18.9,27,87,16,23,70.5,18.9,14,67,19.8,16,77,22.6,23,57,24.4,0
10108846363,25.62,90,17.33,20.38,87,17.03,22.6,89.56,17.14,15.11,87,16.86,15.3,81.9,17,19.8,73.75,17,16.8,69.56,17,26.17,72,24.77,1
9083883127,38,88,17,23,87,19.5,29,78,19.5,26,78.2,19,22,76.8,19.5,17,74.3,20.1,16,77,21.2,13,72,23.4,0
6840513410,20,100,17,15.12,100,16.73,14.93,100,16.67,14,87,16.73,12.88,94.7,17.75,15.75,82,17,16,81.1,20.27,23.12,78.1,18,1
6962140938,29.86,90.94,17,27.88,89.44,17.23,23.9,90.2,17,14,90.2,16,22.56,85,17,14,81.1,17,17.38,77,17,23,65.06,24.53,0
6937961625,20,87.06,17.81,18,87,18.38,26.67,83.9,18.23,14,84.9,16,23.81,84.3,18.34,14,82,20.33,22.88,77,21.84,20.84,72,24.12,0
9385202337,29.31,100,16,23.97,100,15.2,17,100,17,5.63,100,15.2,4.28,85,17,11.6,100,14.3,16,100,17,26.38,92.8,17.5,4
6846366426,11.51,88,16.86,12.87,87,17,17,89.2,16.72,9.02,87.25,16.8,10.15,85,17.84,16.66,78.06,17,16,77,20.95,23,72,21.73,1
9385387032,19.84,88,17,18,87,15.6,7.64,93.7,17,4.34,93.9,15,5.7,92.3,15.1,9.8,82,14.9,18.92,86.6,15.1,23,79.3,18,4
10137262697,20,93.8,17.05,18,87,16.81,20.48,93.6,17,14.49,91.6,16.64,14.86,85,17.81,18.08,80.56,19.27,16,74.8,19.88,25.25,65.25,21.62,1
10207237162,29.42,95.2,15.7,22.98,95.5,15.1,25.05,95.4,14.8,14,87,14.9,14.63,94.4,14.3,14.93,92.6,17,20.6,77,13.9,23,75.6,18,4
7517837334,31,74.2,20.33,18,87,20.1,17,72.1,17,14,73.3,16,21,85,19.56,14,82,20.05,16,66.6,20.66,23,72,21.52,0
7524224279,20,88,17.44,18,96.4,16.9,17,96.1,17,14,96.9,16,19,97.5,17.64,13,82,17,13,77,19.03,23,77,19.48,0
9306423758,20,88,18.34,31.88,87,17.97,17,82.94,18.17,14,83.1,18.12,28.34,78.44,18.66,64.25,74.9,19.44,44.7,70.5,20.58,60.47,61.22,24.12,1
6899027986,16.1,89.1,17.02,12.54,85.5,17,17,84.75,17.16,5.31,82.7,16,14,80.6,17,6.98,82,17.7,16,77,17,15,72,18.1,1
6896418428,26.16,84.9,17.34,15.9,82.9,17,19.34,82.9,17.3,7.71,87,16,7.96,79.3,17,14,82,17.4,9.67,74.25,17,13.49,69.75,17.81,1
9113764290,24,75.75,17,26,87,17,17,87,19.39,28,75.3,18.6,14,73.06,18.22,14,67.94,17,16,66.56,17.69,27,59.06,17.03,2
10223315186,22.44,93.6,15.6,18,87,17,25.73,87,17,14,87,14.7,14.13,92.1,14.2,20.31,82,17,25.62,83.1,17,32.9,72,16.8,4
9358996651,8.68,90.6,17,18,85.44,17,17,83.25,16.39,14,81.94,15.82,7.28,82.25,17,8.68,82,14.91,8.68,77,17,23,79.6,13.86,5
9329514881,30.95,100,17,22.64,100,15.2,17,100,15,12.44,100,15,14,85,15.1,18.45,96,17,16,92.3,17,25.7,80,17.1,4
9064875356,30.11,88.7,16.02,18,88.5,17,29.14,87,17,14,87,16,14,89.4,16.23,32.66,82,20.98,20.64,77,17,22.77,72,18,0
10376338733,20,79.7,19.4,18,78.8,17,25,87,18.8,14,79.7,16,21,85,18.8,13,76.4,18.8,16,77,19.9,23,66.4,21,0
9084590406,42,88,18.3,18,87,18.3,34,78.7,18.3,30,79.3,17.7,14,77.3,17,23,74.7,19.4,22,64.3,23.1,22,63,23.1,0
